league,season,team,player,pos,age,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Performance_Int,Performance_TklW,Performance_Fls,Performance_Fld,Int_p90,TklW_p90,pct_Playing Time_Min,pct_Playing Time_90s,pct_Performance_Gls,pct_Performance_Ast,pct_Per 90 Minutes_Gls,pct_Per 90 Minutes_Ast,pct_Standard_Sh,pct_Standard_SoT,pct_Standard_SoT%,pct_Standard_Sh/90,pct_Standard_SoT/90,pct_Standard_G/Sh,pct_Performance_Int,pct_Performance_TklW,pct_Performance_Fls,pct_Performance_Fld,pct_Int_p90,pct_TklW_p90
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,FW,24,2587,28.7,14,4,0.49,0.14,54,34,63.0,1.88,1.18,0.26,5,7,46,19,0.17421602787456447,0.24390243902439024,85.7,85.7,90.2,77.7,83.0,56.2,63.4,89.3,100.0,23.2,68.8,100.0,71.4,47.3,96.4,53.6,44.6,19.6
ENG-Premier League,2425,Wolves,Mario Lemina,MF,30,1364,15.2,1,3,0.07,0.2,18,5,27.8,1.19,0.33,0.06,26,33,17,8,1.7105263157894737,2.1710526315789473,39.1,39.3,36.2,67.4,36.7,76.6,41.1,36.5,33.3,39.1,37.2,40.1,84.9,80.2,42.2,16.7,97.9,94.8
ENG-Premier League,2425,Wolves,Marshall Munetsi,MF,28,1078,12.0,2,1,0.17,0.08,22,7,31.8,1.84,0.58,0.09,6,11,18,10,0.5,0.9166666666666666,31.2,31.2,53.1,35.4,63.5,39.3,49.7,49.2,47.7,67.4,60.4,59.1,26.8,29.4,45.3,23.7,36.7,37.0
ENG-Premier League,2425,Wolves,Matheus Cunha,MF,25,2597,28.9,15,6,0.52,0.21,110,44,40.0,3.81,1.52,0.14,14,23,43,71,0.4844290657439447,0.795847750865052,81.2,81.8,98.7,86.7,96.9,79.4,98.4,99.0,74.5,98.4,99.0,79.7,64.8,63.3,84.6,99.5,33.9,33.3
ENG-Premier League,2425,Wolves,Matt Doherty,DF,32,2109,23.4,2,1,0.09,0.04,10,3,30.0,0.43,0.13,0.2,22,21,18,11,0.9401709401709403,0.8974358974358975,66.5,66.5,86.5,66.1,87.7,64.2,58.7,61.9,58.9,43.2,50.3,88.4,66.8,61.0,63.5,56.8,56.8,41.3
ENG-Premier League,2425,Wolves,Nélson Semedo,MF,30,2886,32.1,0,4,0.0,0.12,18,7,38.9,0.56,0.22,0.0,23,38,48,30,0.7165109034267912,1.1838006230529594,88.5,88.5,13.0,76.3,13.0,53.4,41.1,49.2,72.4,11.7,25.0,13.3,81.2,86.5,90.9,69.5,55.2,55.7
ENG-Premier League,2425,Wolves,Pablo Sarabia,MF,32,814,9.0,3,2,0.33,0.22,17,8,47.1,1.88,0.88,0.18,4,9,16,15,0.4444444444444444,1.0,22.4,22.1,64.8,54.2,87.8,81.2,38.5,55.2,87.8,68.8,81.0,90.9,16.4,23.4,38.5,34.9,27.9,45.1
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,MF,23,3109,34.5,4,7,0.12,0.2,36,13,36.1,1.04,0.38,0.11,24,55,30,46,0.6956521739130435,1.5942028985507246,95.3,95.3,74.0,92.2,50.8,76.6,71.1,74.7,62.8,32.6,42.7,68.8,81.8,95.8,68.8,85.9,52.3,80.2
ENG-Premier League,2425,Wolves,Rodrigo Gomes,MF,21,810,9.0,2,0,0.22,0.0,7,3,42.9,0.78,0.33,0.29,6,14,4,6,0.6666666666666666,1.5555555555555556,21.9,22.1,53.1,12.8,71.4,12.8,11.2,22.7,81.2,21.9,37.2,98.7,26.8,38.8,4.2,11.5,51.0,78.1
ENG-Premier League,2425,Wolves,Sam Johnstone,GK,31,630,7.0,0,0,0.0,0.0,0,0,,0.0,0.0,,0,0,0,0,0.0,0.0,20.6,20.6,51.5,44.1,51.5,44.1,48.5,51.5,,48.5,51.5,,41.2,33.8,32.4,10.3,41.2,33.8
ENG-Premier League,2425,Wolves,Santiago Bueno,DF,25,1687,18.7,0,0,0.0,0.0,6,3,50.0,0.32,0.16,0.0,13,20,27,5,0.6951871657754011,1.0695187165775402,52.9,52.9,28.7,26.8,28.7,26.8,42.9,61.9,88.1,25.2,61.3,28.1,43.2,58.1,85.2,31.0,26.5,53.5
ENG-Premier League,2425,Wolves,Tommy Doyle,MF,22,488,5.4,0,1,0.0,0.18,9,2,22.2,1.66,0.37,0.0,5,7,5,5,0.9259259259259258,1.2962962962962963,8.3,7.8,13.0,35.4,13.0,71.4,15.1,16.4,22.7,60.7,41.7,13.3,21.9,16.4,6.0,9.4,70.8,63.5
ENG-Premier League,2425,Wolves,Toti Gomes,DF,25,2614,29.0,0,1,0.0,0.03,7,3,42.9,0.24,0.1,0.0,26,43,24,15,0.896551724137931,1.4827586206896552,80.0,79.7,28.7,66.1,28.7,57.4,47.7,61.9,77.5,16.8,39.7,28.1,77.1,93.5,78.7,68.1,49.0,78.7
ENG-Premier League,2425,Wolves,Yerson Mosquera,DF,23,441,4.9,0,0,0.0,0.0,2,0,0.0,0.41,0.0,0.0,10,6,6,7,2.0408163265306123,1.2244897959183672,11.0,11.0,28.7,26.8,28.7,26.8,15.5,11.3,10.3,40.0,11.3,28.1,35.5,16.5,19.0,41.0,100.0,65.2
