league,season,team,player,pos,age,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Performance_Int,Performance_TklW,Performance_Fls,Performance_Fld,Int_p90,TklW_p90,pct_Playing Time_Min,pct_Playing Time_90s,pct_Performance_Gls,pct_Performance_Ast,pct_Per 90 Minutes_Gls,pct_Per 90 Minutes_Ast,pct_Standard_Sh,pct_Standard_SoT,pct_Standard_SoT%,pct_Standard_Sh/90,pct_Standard_SoT/90,pct_Standard_G/Sh,pct_Performance_Int,pct_Performance_TklW,pct_Performance_Fls,pct_Performance_Fld,pct_Int_p90,pct_TklW_p90
ENG-Premier League,2425,Aston Villa,John McGinn,MF,29,2223,24.7,1,4,0.04,0.16,31,5,16.1,1.26,0.2,0.03,11,23,43,69,0.4453441295546559,0.9311740890688259,69.5,69.8,36.2,76.3,28.6,65.4,63.3,36.5,12.0,43.5,22.4,27.6,52.9,63.3,84.6,99.0,28.6,39.6
ENG-Premier League,2425,Aston Villa,Jáder Durán,FW,20,638,7.1,7,0,0.99,0.0,31,15,48.4,4.37,2.12,0.23,0,7,14,15,0.0,0.9859154929577465,23.2,23.2,56.2,10.7,100.0,10.7,41.1,48.2,91.1,98.2,100.0,94.6,7.1,47.3,40.2,48.2,7.1,89.3
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,DF,20,476,5.3,0,0,0.0,0.0,1,1,100.0,0.19,0.19,0.0,1,6,8,11,0.18867924528301888,1.1320754716981132,12.3,12.3,28.7,26.8,28.7,26.8,7.1,30.3,98.7,11.0,69.4,28.1,1.0,16.5,28.1,56.8,0.6,59.4
ENG-Premier League,2425,Aston Villa,Leon Bailey,MF,26,1139,12.7,1,2,0.08,0.16,28,6,21.4,2.21,0.47,0.04,4,4,12,18,0.31496062992125984,0.31496062992125984,33.3,33.3,36.2,54.2,38.5,65.4,60.2,42.4,21.4,79.2,51.0,29.4,16.4,7.6,25.8,42.4,16.7,3.6
ENG-Premier League,2425,Aston Villa,Lucas Digne,DF,31,2351,26.1,0,4,0.0,0.15,13,3,23.1,0.5,0.11,0.0,22,36,21,16,0.842911877394636,1.379310344827586,70.3,70.3,28.7,95.8,28.7,88.1,69.7,61.9,41.7,55.8,43.9,28.1,66.8,86.5,70.3,70.6,41.9,72.9
ENG-Premier League,2425,Aston Villa,Marco Asensio,MF,28,743,8.3,3,1,0.36,0.12,24,11,45.8,2.91,1.33,0.13,2,5,11,8,0.24096385542168672,0.6024096385542168,17.7,18.0,64.8,35.4,89.8,53.4,52.9,67.2,84.4,91.7,96.9,74.2,7.8,12.5,22.9,16.7,10.4,18.8
ENG-Premier League,2425,Aston Villa,Marcus Rashford,FW,26,444,4.9,2,2,0.41,0.41,19,7,36.8,3.85,1.42,0.05,1,7,1,3,0.2040816326530612,1.4285714285714284,10.7,10.7,24.1,50.9,58.9,94.6,25.0,23.2,31.2,96.4,90.2,15.2,20.5,47.3,1.8,4.5,51.8,96.4
ENG-Premier League,2425,Aston Villa,Matty Cash,DF,26,2070,23.0,1,1,0.04,0.04,13,6,46.2,0.57,0.26,0.08,22,31,27,20,0.9565217391304348,1.3478260869565217,65.2,65.2,68.4,66.1,65.8,64.2,69.7,85.5,81.5,65.5,81.9,69.9,66.8,79.0,85.2,78.4,58.7,71.6
ENG-Premier League,2425,Aston Villa,Morgan Rogers,MF,22,3114,34.6,8,10,0.23,0.29,55,20,36.4,1.59,0.58,0.15,6,22,49,51,0.17341040462427745,0.6358381502890174,95.8,95.8,91.7,98.4,72.9,89.1,87.8,88.5,65.1,57.3,60.4,84.1,26.8,58.9,92.4,90.4,5.2,20.3
ENG-Premier League,2425,Aston Villa,Ollie Watkins,FW,28,2598,28.9,16,8,0.55,0.28,84,40,47.6,2.91,1.39,0.17,7,7,29,33,0.24221453287197234,0.24221453287197234,89.3,89.3,92.9,94.6,87.5,88.4,92.9,94.6,85.7,74.1,86.6,74.1,87.5,47.3,80.4,83.9,60.7,17.9
ENG-Premier League,2425,Aston Villa,Pau Torres,DF,27,2020,22.4,0,0,0.0,0.0,8,3,37.5,0.36,0.13,0.0,9,15,8,7,0.4017857142857143,0.6696428571428572,63.9,63.5,28.7,26.8,28.7,26.8,50.6,61.9,70.9,33.5,50.3,28.1,31.9,45.2,28.1,41.0,6.1,18.1
ENG-Premier League,2425,Aston Villa,Ross Barkley,MF,30,581,6.5,3,1,0.46,0.15,16,6,37.5,2.48,0.93,0.19,10,4,8,3,1.5384615384615385,0.6153846153846154,11.5,11.5,64.8,35.4,95.3,62.8,36.2,42.4,67.7,85.4,82.6,94.3,47.9,7.6,14.8,4.2,95.3,19.8
ENG-Premier League,2425,Aston Villa,Tyrone Mings,DF,31,1120,12.4,0,0,0.0,0.0,9,1,11.1,0.72,0.08,0.0,7,6,4,11,0.564516129032258,0.48387096774193544,36.8,36.8,28.7,26.8,28.7,26.8,53.5,30.3,24.5,77.7,34.2,28.1,25.2,16.5,10.0,56.8,15.5,9.0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,MF,27,3026,33.6,3,7,0.09,0.21,41,13,31.7,1.22,0.39,0.07,22,58,41,56,0.6547619047619048,1.726190476190476,93.8,93.8,64.8,92.2,41.1,79.4,77.9,74.7,46.9,40.9,43.5,47.1,79.9,97.4,82.3,94.8,50.5,84.9
ENG-Premier League,2425,Bournemouth,Adam Smith,DF,33,1590,17.7,0,0,0.0,0.0,3,0,0.0,0.17,0.0,0.0,15,14,19,12,0.8474576271186441,0.7909604519774012,51.0,51.0,28.7,26.8,28.7,26.8,22.6,11.3,10.3,7.1,11.3,28.1,48.1,42.6,66.1,61.3,43.2,31.0
ENG-Premier League,2425,Bournemouth,Alex Scott,MF,20,755,8.4,0,0,0.0,0.0,15,7,46.7,1.79,0.83,0.0,9,13,17,26,1.0714285714285714,1.5476190476190474,18.8,19.0,13.0,12.8,13.0,12.8,33.6,49.2,86.5,65.9,77.6,13.3,43.5,35.7,42.2,62.2,78.6,76.6
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,MF,24,3203,35.6,11,5,0.31,0.14,126,41,32.5,3.54,1.15,0.09,9,36,72,37,0.25280898876404495,1.0112359550561798,97.4,97.4,96.6,82.0,85.4,60.4,99.2,98.2,50.0,96.1,92.7,59.1,43.5,83.9,100.0,78.6,12.5,46.9
ENG-Premier League,2425,Bournemouth,Dango Ouattara,MF,22,2005,22.3,7,4,0.31,0.18,62,20,32.3,2.78,0.9,0.11,11,26,16,19,0.49327354260089684,1.1659192825112108,62.0,62.0,88.5,76.3,85.4,71.4,92.7,88.5,49.2,89.6,81.8,68.8,52.9,68.5,38.5,46.6,35.4,54.2
ENG-Premier League,2425,Bournemouth,David Brooks,MF,27,960,10.7,2,0,0.19,0.0,25,12,48.0,2.34,1.13,0.08,5,6,11,18,0.4672897196261683,0.5607476635514019,28.1,28.1,53.1,12.8,68.0,12.8,54.7,71.1,89.3,82.0,91.1,53.9,21.9,14.8,22.9,42.4,32.3,16.1
ENG-Premier League,2425,Bournemouth,Dean Huijsen,DF,19,2427,27.0,3,2,0.11,0.07,18,4,22.2,0.67,0.15,0.17,48,27,31,10,1.7777777777777777,1.0,73.5,73.5,95.5,84.8,91.3,75.5,83.2,72.9,38.7,72.3,57.1,84.8,96.8,71.3,92.9,51.9,97.4,49.4
ENG-Premier League,2425,Bournemouth,Enes Ünal,FW,27,345,3.8,2,1,0.52,0.26,19,7,36.8,4.96,1.83,0.11,0,0,6,9,0.0,0.0,3.6,3.6,24.1,32.1,85.7,85.7,25.0,23.2,31.2,100.0,96.4,38.4,7.1,1.8,14.3,23.2,7.1,1.8
ENG-Premier League,2425,Bournemouth,Evanilson,FW,24,2319,25.8,10,1,0.39,0.04,73,32,43.8,2.83,1.24,0.14,2,9,37,53,0.07751937984496124,0.3488372093023256,75.0,75.0,77.7,32.1,50.0,21.4,89.3,83.0,67.0,69.6,76.8,56.2,34.8,65.2,91.1,98.2,21.4,25.0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,DF,21,3109,34.5,0,1,0.0,0.03,12,1,8.3,0.35,0.03,0.0,39,35,20,7,1.1304347826086956,1.0144927536231885,91.6,91.6,28.7,66.1,28.7,57.4,66.8,30.3,21.9,31.9,23.2,28.1,92.3,84.8,68.4,41.0,69.0,52.3
ENG-Premier League,2425,Bournemouth,James Hill,DF,22,448,5.0,0,1,0.0,0.2,6,0,0.0,1.21,0.0,0.0,7,8,7,5,1.4,1.6,11.6,11.6,28.7,66.1,28.7,92.9,42.9,11.3,10.3,94.8,11.3,28.1,25.2,25.8,23.5,31.0,85.8,83.9
ENG-Premier League,2425,Bournemouth,Julian Araujo,DF,22,497,5.5,0,0,0.0,0.0,0,0,,0.0,0.0,,5,5,7,2,0.9090909090909091,0.9090909090909091,14.8,14.5,28.7,26.8,28.7,26.8,1.6,11.3,,1.6,11.3,,17.4,11.3,23.5,11.0,50.3,42.6
ENG-Premier League,2425,Bournemouth,Justin Kluivert,MF,25,2340,26.0,12,6,0.46,0.23,63,29,46.0,2.42,1.12,0.1,13,9,46,33,0.5,0.34615384615384615,74.0,74.2,97.4,86.7,95.3,83.1,93.2,94.8,85.9,83.3,90.4,64.3,60.9,23.4,87.5,74.2,36.7,4.7
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,GK,29,2790,31.0,0,0,0.0,0.0,1,0,0.0,0.03,0.0,0.0,0,0,2,6,0.0,0.0,70.6,70.6,51.5,44.1,51.5,44.1,98.5,51.5,75.0,98.5,51.5,75.0,41.2,33.8,91.2,88.2,41.2,33.8
ENG-Premier League,2425,Bournemouth,Lewis Cook,MF,27,2978,33.1,1,3,0.03,0.09,14,4,28.6,0.42,0.12,0.07,45,42,48,10,1.3595166163141994,1.268882175226586,92.2,92.4,36.2,67.4,26.6,42.7,30.7,29.7,35.2,6.5,14.6,47.1,97.4,88.5,90.9,23.7,91.7,61.5
ENG-Premier League,2425,Bournemouth,Marcos Senesi,DF,27,1106,12.3,0,0,0.0,0.0,2,0,0.0,0.16,0.0,0.0,14,19,22,8,1.1382113821138211,1.5447154471544715,35.5,35.8,28.7,26.8,28.7,26.8,15.5,11.3,10.3,6.5,11.3,28.1,45.5,54.5,72.6,44.8,70.3,82.6
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,MF,25,1939,21.5,3,5,0.14,0.23,57,17,29.8,2.65,0.79,0.05,4,22,34,28,0.18604651162790697,1.0232558139534884,59.4,59.1,64.8,82.0,57.3,83.1,89.8,82.8,39.1,87.2,75.5,34.1,16.4,58.9,75.0,67.2,6.2,47.9
ENG-Premier League,2425,Bournemouth,Mark Travers,GK,25,450,5.0,0,0,0.0,0.0,0,0,,0.0,0.0,,0,0,0,1,0.0,0.0,7.4,7.4,51.5,44.1,51.5,44.1,48.5,51.5,,48.5,51.5,,41.2,33.8,32.4,29.4,41.2,33.8
ENG-Premier League,2425,Bournemouth,Milos Kerkez,DF,20,3336,37.1,2,5,0.05,0.13,19,5,26.3,0.51,0.13,0.11,41,26,30,50,1.105121293800539,0.7008086253369272,98.7,98.7,86.5,97.1,70.3,85.8,85.5,79.4,47.7,57.1,50.3,76.5,93.5,69.7,90.6,100.0,67.1,22.6
ENG-Premier League,2425,Bournemouth,Ryan Christie,MF,29,2117,23.5,2,3,0.09,0.13,33,12,36.4,1.4,0.51,0.06,30,33,42,31,1.2765957446808511,1.4042553191489362,65.6,65.6,53.1,67.4,41.1,57.3,66.7,71.1,65.1,49.5,55.5,40.1,92.4,80.2,83.6,71.4,87.0,69.8
ENG-Premier League,2425,Bournemouth,Tyler Adams,MF,25,1965,21.8,0,3,0.0,0.14,9,2,22.2,0.41,0.09,0.0,30,56,46,21,1.3761467889908257,2.568807339449541,61.2,60.7,13.0,67.4,13.0,60.4,15.1,16.4,22.7,5.5,10.7,13.3,92.4,96.9,87.5,50.8,92.2,99.0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,MF,24,3414,37.9,20,7,0.53,0.18,85,41,48.2,2.24,1.08,0.18,11,30,25,44,0.29023746701846964,0.79155672823219,100.0,100.0,99.5,92.2,97.4,71.4,96.4,98.2,90.1,80.7,88.5,90.9,52.9,75.0,61.5,83.6,15.6,31.8
ENG-Premier League,2425,Brentford,Christian Nørgaard,MF,30,2819,31.3,5,4,0.16,0.13,39,16,41.0,1.25,0.51,0.13,46,47,44,28,1.4696485623003195,1.5015974440894568,87.5,87.2,80.2,76.3,61.2,57.3,75.8,79.7,76.6,42.7,55.5,74.2,98.2,90.4,85.9,67.2,93.2,74.0
ENG-Premier League,2425,Brentford,Ethan Pinnock,DF,31,1913,21.3,2,0,0.09,0.0,10,6,60.0,0.47,0.28,0.2,23,15,8,4,1.07981220657277,0.704225352112676,61.3,61.3,86.5,26.8,87.7,26.8,58.7,85.5,94.7,51.6,83.5,88.4,70.3,45.2,28.1,23.9,65.8,23.2
ENG-Premier League,2425,Brentford,Fabio Carvalho,FW,21,455,5.1,2,1,0.4,0.2,12,6,50.0,2.37,1.19,0.17,3,9,5,10,0.5882352941176471,1.7647058823529413,14.3,14.3,24.1,32.1,53.6,74.1,14.3,17.9,93.8,50.0,72.3,74.1,46.4,65.2,10.7,26.8,96.4,100.0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,DF,23,3093,34.4,1,3,0.03,0.09,28,14,50.0,0.81,0.41,0.04,20,27,18,31,0.5813953488372093,0.7848837209302326,91.0,91.0,68.4,92.9,60.6,79.4,95.2,100.0,88.1,83.2,96.8,57.9,59.4,71.3,63.5,90.0,16.8,30.3
ENG-Premier League,2425,Brentford,Kevin Schade,MF,22,2293,25.5,11,2,0.43,0.08,55,27,49.1,2.16,1.06,0.2,5,26,21,38,0.19607843137254902,1.0196078431372548,72.4,72.4,96.6,54.2,93.8,39.3,87.8,93.0,91.1,77.9,86.5,95.6,21.9,68.5,54.2,79.4,6.8,47.4
ENG-Premier League,2425,Brentford,Kristoffer Ajer,DF,26,1438,16.0,0,0,0.0,0.0,9,3,33.3,0.56,0.19,0.0,11,19,13,6,0.6875,1.1875,48.4,48.4,28.7,26.8,28.7,26.8,53.5,61.9,65.6,63.5,69.4,28.1,37.7,54.5,50.3,36.1,25.8,62.6
ENG-Premier League,2425,Brentford,Mads Roerslev,DF,25,1101,12.2,0,2,0.0,0.16,5,2,40.0,0.41,0.16,0.0,4,8,6,10,0.3278688524590164,0.6557377049180328,34.8,34.8,28.7,84.8,28.7,89.7,35.2,46.5,74.2,40.0,61.3,28.1,11.9,25.8,19.0,51.9,3.2,17.4
ENG-Premier League,2425,Brentford,Mark Flekken,GK,31,3275,36.4,0,2,0.0,0.05,0,0,,0.0,0.0,,0,4,0,3,0.0,0.10989010989010989,85.3,85.3,51.5,97.1,51.5,97.1,48.5,51.5,,48.5,51.5,,41.2,100.0,32.4,61.8,41.2,97.1
ENG-Premier League,2425,Brentford,Mathias Jensen,MF,28,862,9.6,0,2,0.0,0.21,6,1,16.7,0.63,0.1,0.0,7,9,7,10,0.7291666666666667,0.9375,25.5,25.3,13.0,54.2,13.0,79.4,8.6,9.4,13.5,15.4,12.0,13.3,32.0,23.4,11.7,23.7,55.7,40.6
ENG-Premier League,2425,Brentford,Michael Kayode,DF,20,528,5.9,0,1,0.0,0.17,2,0,0.0,0.34,0.0,0.0,7,11,8,3,1.1864406779661016,1.8644067796610169,17.7,17.4,28.7,66.1,28.7,91.3,15.5,11.3,10.3,29.7,11.3,28.1,25.2,35.8,28.1,17.4,74.5,94.8
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,MF,24,2911,32.3,2,10,0.06,0.31,35,7,20.0,1.08,0.22,0.06,29,44,18,27,0.8978328173374613,1.3622291021671828,89.6,89.3,53.1,98.4,34.1,91.7,69.8,49.2,17.7,35.7,25.0,40.1,91.1,89.3,45.3,64.3,66.7,67.7
ENG-Premier League,2425,Brentford,Nathan Collins,DF,23,3420,38.0,2,3,0.05,0.08,17,6,35.3,0.45,0.16,0.12,34,24,28,31,0.8947368421052632,0.631578947368421,100.0,100.0,86.5,92.9,70.3,77.4,81.0,85.5,68.5,46.8,61.3,79.1,87.1,66.5,88.1,90.0,48.4,15.5
ENG-Premier League,2425,Brentford,Sepp van den Berg,DF,22,2586,28.7,0,0,0.0,0.0,20,6,30.0,0.7,0.21,0.0,22,24,23,5,0.7665505226480837,0.8362369337979094,78.1,77.7,28.7,26.8,28.7,26.8,87.4,85.5,58.9,75.8,71.6,28.1,66.8,66.5,75.8,31.0,36.1,35.5
ENG-Premier League,2425,Brentford,Vitaly Janelt,MF,26,2254,25.0,1,3,0.04,0.12,14,4,28.6,0.56,0.16,0.07,27,24,25,15,1.08,0.96,70.8,70.8,36.2,67.4,28.6,53.4,30.7,29.7,35.2,11.7,19.8,47.1,87.5,66.4,61.5,34.9,79.2,41.7
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,MF,20,1450,16.1,0,0,0.0,0.0,9,2,22.2,0.56,0.12,0.0,13,30,19,13,0.8074534161490683,1.8633540372670805,41.1,41.1,13.0,12.8,13.0,12.8,15.1,16.4,22.7,11.7,14.6,13.3,60.9,75.0,47.9,31.8,62.0,89.6
ENG-Premier League,2425,Brentford,Yoane Wissa,FW,27,2919,32.4,19,4,0.59,0.12,90,43,47.8,2.77,1.33,0.21,8,13,33,51,0.2469135802469136,0.4012345679012346,98.2,98.2,94.6,77.7,89.3,48.2,94.6,96.4,88.4,66.1,82.1,92.0,92.9,80.4,84.8,95.5,64.3,35.7
ENG-Premier League,2425,Brighton,Adam Webster,DF,29,887,9.9,0,0,0.0,0.0,5,1,20.0,0.51,0.1,0.0,20,7,7,2,2.0202020202020203,0.7070707070707071,25.2,25.2,28.7,26.8,28.7,26.8,35.2,30.3,33.8,57.1,39.7,28.1,59.4,21.6,23.5,11.0,99.4,23.9
ENG-Premier League,2425,Brighton,Bart Verbruggen,GK,21,3240,36.0,0,1,0.0,0.03,0,0,,0.0,0.0,,0,0,0,2,0.0,0.0,82.4,82.4,51.5,91.2,51.5,91.2,48.5,51.5,,48.5,51.5,,41.2,33.8,32.4,48.5,41.2,33.8
ENG-Premier League,2425,Brighton,Brajan Gruda,MF,20,687,7.6,1,4,0.13,0.52,11,5,45.5,1.44,0.66,0.09,2,8,7,12,0.2631578947368421,1.0526315789473684,14.6,14.6,36.2,76.3,54.2,100.0,21.1,36.5,83.9,50.0,66.7,59.1,7.8,19.5,11.7,28.9,13.5,48.4
ENG-Premier League,2425,Brighton,Carlos Baleba,MF,20,2661,29.6,3,1,0.1,0.03,44,11,25.0,1.49,0.37,0.07,49,44,39,47,1.6554054054054053,1.4864864864864864,83.3,83.3,64.8,35.4,44.3,26.0,79.9,67.2,28.9,51.8,41.7,47.1,99.5,89.3,79.7,87.8,97.4,72.9
ENG-Premier League,2425,Brighton,Danny Welbeck,FW,33,2115,23.5,10,4,0.43,0.17,60,24,40.0,2.55,1.02,0.15,5,16,11,23,0.2127659574468085,0.6808510638297872,66.1,66.1,77.7,77.7,66.1,64.3,74.1,71.4,52.7,59.8,50.0,63.4,71.4,86.6,28.6,61.6,53.6,71.4
ENG-Premier League,2425,Brighton,Diego Gómez,MF,21,516,5.7,1,0,0.17,0.0,9,3,33.3,1.57,0.52,0.11,7,13,8,3,1.2280701754385965,2.280701754385965,9.4,9.4,36.2,12.8,63.5,12.8,15.1,22.7,53.6,54.9,56.2,68.8,32.0,35.7,14.8,4.2,84.4,96.4
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,DF,24,385,4.3,1,0,0.23,0.0,4,1,25.0,0.94,0.23,0.25,7,5,4,3,1.627906976744186,1.1627906976744187,9.0,9.4,68.4,26.8,96.8,26.8,28.1,30.3,45.4,90.3,77.1,91.7,25.2,11.3,10.0,17.4,94.8,60.6
ENG-Premier League,2425,Brighton,Georginio Rutter,MF,22,1656,18.4,5,3,0.27,0.16,50,12,24.0,2.72,0.65,0.1,11,14,34,45,0.5978260869565218,0.7608695652173914,49.5,49.2,80.2,67.4,80.2,65.4,85.4,71.1,26.6,88.5,65.1,64.3,52.9,38.8,75.0,84.4,47.4,27.6
ENG-Premier League,2425,Brighton,Igor,DF,26,961,10.7,0,0,0.0,0.0,1,0,0.0,0.09,0.0,0.0,4,5,9,7,0.3738317757009346,0.4672897196261683,27.7,27.7,28.7,26.8,28.7,26.8,7.1,11.3,10.3,4.5,11.3,28.1,11.9,11.3,34.5,41.0,4.5,7.1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,MF,19,1842,20.5,5,2,0.24,0.1,18,10,55.6,0.88,0.49,0.28,11,19,18,9,0.5365853658536586,0.926829268292683,56.2,56.2,80.2,54.2,74.5,45.6,41.1,64.3,94.8,27.1,53.6,97.9,52.9,51.3,45.3,20.1,41.7,38.5
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,DF,24,2958,32.9,1,1,0.03,0.03,17,5,29.4,0.52,0.15,0.06,25,29,25,24,0.7598784194528876,0.8814589665653496,86.5,86.5,68.4,66.1,60.6,57.4,81.0,79.4,56.3,59.4,57.1,62.9,74.5,75.5,81.0,83.9,34.2,40.0
ENG-Premier League,2425,Brighton,João Pedro,FW,22,1948,21.6,10,6,0.46,0.28,47,20,42.6,2.17,0.92,0.11,8,12,27,45,0.37037037037037035,0.5555555555555555,60.7,60.7,77.7,90.2,75.9,88.4,53.6,58.9,62.5,35.7,41.1,38.4,92.9,76.8,69.6,91.1,83.9,57.1
ENG-Premier League,2425,Brighton,Joël Veltman,DF,32,1697,18.9,0,0,0.0,0.0,6,1,16.7,0.32,0.05,0.0,20,29,27,44,1.0582010582010584,1.5343915343915344,53.5,53.5,28.7,26.8,28.7,26.8,42.9,30.3,28.5,25.2,25.8,28.1,59.4,75.5,85.2,97.7,63.9,81.3
ENG-Premier League,2425,Brighton,Kaoru Mitoma,MF,27,2603,28.9,10,4,0.35,0.14,57,27,47.4,1.97,0.93,0.18,12,27,40,24,0.4152249134948097,0.9342560553633218,82.3,81.8,95.6,76.3,88.8,60.4,89.8,93.0,88.5,73.4,82.6,90.9,57.0,70.3,81.0,57.6,26.6,40.1
ENG-Premier League,2425,Brighton,Lewis Dunk,DF,32,2083,23.1,0,0,0.0,0.0,12,3,25.0,0.52,0.13,0.0,12,11,7,11,0.5194805194805194,0.47619047619047616,65.8,65.8,28.7,26.8,28.7,26.8,66.8,61.9,45.4,59.4,50.3,28.1,40.3,35.8,23.5,56.8,12.3,8.4
ENG-Premier League,2425,Brighton,Mats Wieffer,DF,24,1015,11.3,1,3,0.09,0.27,9,4,44.4,0.8,0.35,0.11,16,34,23,10,1.415929203539823,3.0088495575221237,30.6,30.6,68.4,92.9,87.7,97.7,53.5,72.9,79.8,82.6,93.2,76.5,50.6,83.2,75.8,51.9,86.5,100.0
ENG-Premier League,2425,Brighton,Matt O'Riley,MF,23,938,10.4,2,2,0.19,0.19,22,7,31.8,2.11,0.67,0.05,13,8,16,13,1.25,0.7692307692307692,27.6,27.6,53.1,54.2,68.0,74.0,49.7,49.2,47.7,76.6,68.5,34.1,60.9,19.5,38.5,31.8,85.2,28.1
ENG-Premier League,2425,Brighton,Pervis Estupiñán,DF,26,2402,26.7,1,1,0.04,0.04,28,9,32.1,1.05,0.34,0.04,39,44,36,20,1.4606741573033708,1.647940074906367,72.3,72.3,68.4,66.1,65.8,64.2,95.2,96.8,62.9,91.6,91.3,57.9,92.3,94.2,98.1,78.4,89.0,87.1
ENG-Premier League,2425,Brighton,Simon Adingra,MF,22,1097,12.2,2,2,0.16,0.16,33,8,24.2,2.71,0.66,0.06,9,16,13,4,0.7377049180327869,1.3114754098360657,32.3,32.3,53.1,54.2,61.2,65.4,66.7,55.2,27.6,88.0,66.7,40.1,43.5,44.5,29.2,6.8,56.8,64.1
ENG-Premier League,2425,Brighton,Tariq Lamptey,DF,23,860,9.6,2,2,0.21,0.21,6,2,33.3,0.63,0.21,0.33,7,11,15,10,0.7291666666666667,1.1458333333333335,24.5,24.5,86.5,84.8,96.1,94.2,42.9,46.5,65.6,69.4,71.6,96.0,25.2,35.8,52.9,51.9,29.0,60.0
ENG-Premier League,2425,Brighton,Yankuba Minteh,MF,20,1838,20.4,6,4,0.29,0.2,34,16,47.1,1.66,0.78,0.18,12,36,21,11,0.5882352941176471,1.7647058823529413,55.7,55.7,84.6,76.3,83.1,76.6,68.2,79.7,87.8,60.7,74.7,90.9,57.0,83.9,54.2,26.8,46.1,85.9
ENG-Premier League,2425,Brighton,Yasin Ayari,MF,20,1965,21.8,2,1,0.09,0.05,28,8,28.6,1.28,0.37,0.07,20,32,36,26,0.9174311926605504,1.4678899082568806,61.2,60.7,53.1,35.4,41.1,29.7,60.2,55.2,35.2,44.8,41.7,47.1,74.5,77.9,77.1,62.2,69.8,71.9
ENG-Premier League,2425,Chelsea,Axel Disasi,DF,26,364,4.0,1,0,0.25,0.0,2,1,50.0,0.49,0.25,0.5,2,4,2,0,0.5,1.0,7.7,7.4,68.4,26.8,97.7,26.8,15.5,30.3,88.1,54.2,80.6,99.0,3.2,7.4,3.5,1.6,9.7,49.4
ENG-Premier League,2425,Chelsea,Benoît Badiashile,DF,23,334,3.7,0,0,0.0,0.0,0,0,,0.0,0.0,,6,6,6,2,1.6216216216216215,1.6216216216216215,3.2,3.2,28.7,26.8,28.7,26.8,1.6,11.3,,1.6,11.3,,21.3,16.5,19.0,11.0,93.5,85.2
ENG-Premier League,2425,Chelsea,Christopher Nkunku,MF,26,921,10.2,3,2,0.29,0.2,25,12,48.0,2.44,1.17,0.12,7,8,16,11,0.6862745098039216,0.7843137254901962,26.6,26.6,64.8,54.2,83.1,76.6,54.7,71.1,89.3,84.6,93.2,71.4,32.0,19.5,38.5,26.8,51.6,29.7
ENG-Premier League,2425,Chelsea,Cole Palmer,MF,22,3191,35.5,15,8,0.42,0.23,126,51,40.5,3.55,1.44,0.09,10,18,15,60,0.28169014084507044,0.5070422535211268,96.9,96.9,98.7,96.1,93.2,83.1,99.2,99.5,76.0,97.1,97.9,59.1,47.9,48.7,34.1,96.9,15.1,10.4
ENG-Premier League,2425,Chelsea,Enzo Fernández,MF,23,2947,32.7,6,7,0.18,0.21,53,20,37.7,1.62,0.61,0.11,13,32,52,54,0.39755351681957185,0.9785932721712537,90.6,90.6,84.6,92.2,66.1,79.4,85.9,88.5,68.8,59.4,62.5,68.8,60.9,77.9,93.8,93.5,25.0,42.2
ENG-Premier League,2425,Chelsea,Filip Jørgensen,GK,22,540,6.0,0,0,0.0,0.0,0,0,,0.0,0.0,,0,0,1,1,0.0,0.0,13.2,13.2,51.5,44.1,51.5,44.1,48.5,51.5,,48.5,51.5,,41.2,33.8,73.5,29.4,41.2,33.8
ENG-Premier League,2425,Chelsea,Jadon Sancho,MF,24,1764,19.6,3,4,0.15,0.2,24,8,33.3,1.22,0.41,0.13,2,7,6,11,0.1020408163265306,0.3571428571428571,52.1,52.3,64.8,76.3,59.4,76.6,52.9,55.2,53.6,40.9,46.4,74.2,7.8,16.4,8.9,26.8,2.6,5.2
ENG-Premier League,2425,Chelsea,João Félix,MF,24,369,4.1,1,1,0.24,0.24,20,6,30.0,4.88,1.46,0.05,3,3,6,17,0.7317073170731708,0.7317073170731708,4.7,4.7,36.2,35.4,74.5,85.4,45.6,42.4,40.4,100.0,98.4,34.1,12.0,3.6,8.9,38.5,56.2,25.3
ENG-Premier League,2425,Chelsea,Levi Colwill,DF,21,3149,35.0,2,1,0.06,0.03,17,4,23.5,0.49,0.11,0.12,32,35,46,21,0.9142857142857143,1.0,93.5,93.9,86.5,66.1,76.8,57.4,81.0,72.9,43.0,54.2,43.9,79.1,84.8,84.8,100.0,81.3,51.0,49.4
